"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5"
"ENSG00000197079.8",3,0,3,0,0,0,0,1,0,1
"ENSG00000197081.16",24467,12321,5481,2658,24851,10122,4253,7649,9774,4549
"ENSG00000197083.11",90,78,6,29,7,144,101,142,178,278
"ENSG00000197084.5",0,0,0,0,0,0,0,1,2,4
"ENSG00000197085.11",1,1,0,0,0,0,7,0,0,1
"ENSG00000197092.5",0,0,0,0,0,0,0,0,0,0
"ENSG00000197093.11",1083,976,1014,1039,1284,588,102,759,1087,1107
"ENSG00000197099.8",5,2,4,1,9,2,2,0,0,1
"ENSG00000197102.12",34562,33437,20191,12074,45375,21178,9815,17250,25460,12937
"ENSG00000197106.7",320,322,126,17,1262,31,33,87,0,33
"ENSG00000197110.9",0,4,1,0,5,0,0,0,0,1
"ENSG00000197111.16",10085,13433,13486,8870,7830,6633,6178,7926,9334,10360
"ENSG00000197114.12",88,130,70,691,133,143,105,145,174,267
"ENSG00000197119.13",1289,7516,1440,2303,2294,2212,549,2090,1641,2418
"ENSG00000197121.15",1204,189,2834,238,676,1232,551,1151,1246,562
"ENSG00000197122.12",1677,6650,2177,956,5963,1859,763,2603,2488,3642
"ENSG00000197123.9",0,0,0,0,0,0,0,0,0,0
"ENSG00000197124.12",225,870,745,306,426,179,68,249,153,219
"ENSG00000197125.3",1,0,1,0,0,0,0,0,0,0
"ENSG00000197128.12",442,1195,1608,192,81,324,205,892,170,421
"ENSG00000197134.13",32,538,532,87,322,70,32,218,113,71
"ENSG00000197136.4",4277,6728,3634,6574,7872,3117,1192,3528,3845,4461
"ENSG00000197140.15",116,458,1901,28,238,479,63,142,134,100
"ENSG00000197142.10",286,377,282,175,1184,2408,2199,1436,2216,1086
"ENSG00000197147.15",1376,3329,4223,365,3607,1426,703,1075,1277,829
"ENSG00000197149.5",304,464,141,777,462,179,121,180,215,576
"ENSG00000197150.13",2059,2859,1292,3388,1208,1072,710,1070,1347,1970
"ENSG00000197153.5",5,3,49,13,28,0,0,0,0,0
"ENSG00000197157.11",15674,21429,12562,8317,10639,10017,6294,10173,13164,13639
"ENSG00000197161.7",0,0,0,1,0,0,0,0,0,0
"ENSG00000197162.10",614,1356,1057,1054,511,554,229,620,330,811
"ENSG00000197165.11",59,48,5,9,6,5,1,8,1,6
"ENSG00000197168.13",644,1257,526,35,34,212,28,178,181,112
"ENSG00000197170.10",4723,4782,7865,12415,7621,2286,1605,2295,3014,2507
"ENSG00000197171.6",0,0,4,0,0,0,0,1,0,0
"ENSG00000197172.10",0,0,0,125,0,0,0,0,6,0
"ENSG00000197176.7",0,0,0,0,0,0,3,0,0,0
"ENSG00000197177.15",0,3,1,0,30,5,19,4,3,5
"ENSG00000197180.2",339,324,623,1064,167,139,139,166,140,450
"ENSG00000197181.12",20,6,22,28,36,192,253,120,44,35
"ENSG00000197182.14",59,42,324,524,39,383,100,244,170,581
"ENSG00000197183.14",1634,8951,7045,804,4861,1677,1344,2205,1252,1260
"ENSG00000197185.7",0,0,0,0,0,0,0,0,0,0
"ENSG00000197191.6",492,122,63,876,32,19,14,48,15,62
"ENSG00000197208.6",240,503,1222,561,80,170,11,218,193,228
"ENSG00000197210.7",0,0,0,0,0,0,0,0,0,0
"ENSG00000197213.10",3,1,2,0,0,0,0,1,0,3
"ENSG00000197214.5",0,0,0,0,4,0,1,0,0,0
"ENSG00000197217.13",3107,8143,2179,2556,3082,2251,700,2016,2406,1837
"ENSG00000197223.12",776,1553,1229,765,584,421,500,603,884,827
"ENSG00000197226.13",11868,15340,9883,6942,8690,9060,7224,8081,10899,9858
"ENSG00000197233.7",1,3,0,0,0,0,0,1,0,0
"ENSG00000197238.5",17,2,47,26,5,0,0,2,1,7
"ENSG00000197241.3",0,2,2,0,1,0,1,1,2,0
"ENSG00000197245.6",44,47,105,427,35,659,599,171,2161,900
"ENSG00000197249.14",1030,2432,798,3017,13775,4411,71,3380,15230,17099
"ENSG00000197251.3",2,7,0,0,1,0,0,2,4,4
"ENSG00000197253.13",265,278,969,4110,12,20,617,116,3844,3016
"ENSG00000197254.4",0,1,0,0,0,10,2,0,0,4
"ENSG00000197256.11",6110,6123,3084,2751,2962,5807,14393,2556,9634,5646
"ENSG00000197258.5",416,131,278,84,233,165,271,241,137,93
"ENSG00000197261.11",19,94,347,3484,307,111,161,95,82,165
"ENSG00000197265.9",1533,2441,803,2652,2184,1021,1706,805,1178,1343
"ENSG00000197272.2",22,11,17,39,32,0,1,4,14,7
"ENSG00000197273.4",0,0,0,0,0,0,0,0,0,0
"ENSG00000197275.14",75,180,364,280,347,42,14,31,29,53
"ENSG00000197279.4",264,326,834,664,980,256,23,173,393,536
"ENSG00000197283.17",720,2146,3811,706,1487,1281,317,1026,1137,790
"ENSG00000197291.9",33,347,657,77,189,648,1162,242,333,150
"ENSG00000197296.6",9047,2740,5069,720,467,1435,2268,1137,1254,1154
"ENSG00000197299.12",232,556,527,290,1280,142,213,90,99,39
"ENSG00000197301.7",122,33,7,13,2,77,27,30,5,19
"ENSG00000197302.10",2259,2192,870,587,964,814,389,810,831,579
"ENSG00000197308.9",301,27,12957,4087,5,66,1,129,316,396
"ENSG00000197309.3",0,0,0,0,0,0,0,0,0,0
"ENSG00000197312.12",3932,5705,3903,1384,5126,4158,2619,3712,2631,1784
"ENSG00000197320.5",0,97,0,0,61,13,6,16,22,8
"ENSG00000197321.15",6894,6982,4752,2236,4847,9837,3419,5157,10741,4846
"ENSG00000197322.4",3,0,104,0,2,6,0,0,0,0
"ENSG00000197323.12",3342,4807,11597,1154,9467,2962,1625,2989,2752,1433
"ENSG00000197324.9",13047,17471,9971,13208,8599,12445,6798,14034,23442,20336
"ENSG00000197329.12",969,3950,660,218,4726,3978,766,2405,3923,2624
"ENSG00000197332.9",19,42,21,14,7,15,20,27,48,8
"ENSG00000197334.2",0,0,1,0,1,0,0,0,0,0
"ENSG00000197343.11",2407,3924,4998,1089,1580,3216,1427,3058,2587,2066
"ENSG00000197345.13",1090,1839,1367,3231,2068,860,1112,904,1242,2085
"ENSG00000197353.4",0,0,0,1,1,0,1,2,6,2
"ENSG00000197355.11",1194,863,359,1077,1418,765,520,789,509,789
"ENSG00000197358.9",26,8,8,1,6,0,20,1,2,3
"ENSG00000197360.9",0,53,250,51,2,47,3,65,24,64
"ENSG00000197361.8",62,74,23,55,51,125,25,159,119,150
"ENSG00000197362.15",457,995,455,353,542,375,157,746,329,678
"ENSG00000197363.9",786,801,1516,1407,2031,723,485,755,537,1050
"ENSG00000197364.7",0,0,0,0,0,0,0,0,0,0
"ENSG00000197372.10",736,2498,1354,263,825,352,90,564,242,199
"ENSG00000197375.13",1744,3468,3487,1547,387,1459,256,1586,1030,1236
"ENSG00000197376.3",0,0,3,0,9,0,0,4,1,0
"ENSG00000197380.11",794,255,167,299,87,78,113,97,286,380
"ENSG00000197381.16",1751,953,698,1712,2012,1965,1282,1601,2107,1637
"ENSG00000197385.6",241,885,483,110,241,254,16,280,216,100
"ENSG00000197386.12",6545,11019,9585,4542,12906,6087,3058,5256,6068,5222
"ENSG00000197403.4",0,0,0,0,1,0,0,0,0,0
"ENSG00000197405.8",1295,607,599,502,2631,797,402,278,1587,945
"ENSG00000197406.7",46,19,106,103,440,75,300,19,34,164
"ENSG00000197408.10",0,76,337,1,1,1,0,0,34,0
"ENSG00000197409.8",0,0,0,0,0,0,0,1,0,0
"ENSG00000197410.14",42,5,3,0,1368,113,2,249,111,86
"ENSG00000197415.12",279,103,307,44,355,147,42,311,386,312
"ENSG00000197416.4",0,0,0,0,0,0,0,0,0,0
"ENSG00000197417.9",129,364,241,967,216,132,253,173,211,409
"ENSG00000197421.10",3,1,0,8,1,0,0,8,3,12
"ENSG00000197428.3",0,0,0,0,0,0,0,0,0,0
"ENSG00000197429.11",1082,1668,1933,415,857,799,510,806,691,649
"ENSG00000197430.11",0,0,0,0,0,0,0,0,0,0
"ENSG00000197437.4",3,4,2,0,0,0,0,2,0,0
"ENSG00000197442.10",1610,2290,1061,929,1032,1802,5342,1357,2090,1549
"ENSG00000197444.10",27,112,1435,7,409,18,86,14,17,80
"ENSG00000197446.9",0,1,1,2,1,1,1,0,0,0
"ENSG00000197448.14",8177,7599,6105,11681,3559,6797,5256,7263,8017,11991
"ENSG00000197451.12",11055,10534,6950,9310,7883,4615,1891,3449,7689,6237
"ENSG00000197454.2",0,0,0,0,0,0,0,2,0,0
"ENSG00000197457.10",1784,1038,10946,10765,1677,982,396,1799,2248,5723
"ENSG00000197461.13",1109,672,702,1467,475,1717,214,4207,2088,4127
"ENSG00000197462.3",0,0,1,0,0,0,0,0,0,0
"ENSG00000197465.14",5,1,10,2,10,15,16,10,24,22
"ENSG00000197467.16",369,1255,40,188,160,81,36,23,102,193
"ENSG00000197468.5",0,0,2,0,1,0,0,0,0,0
"ENSG00000197471.12",248,447,258,182,796,498,103,659,436,426
"ENSG00000197472.15",46,193,55,61,622,24,5,6,0,6
"ENSG00000197475.11",0,0,0,0,0,1,0,0,0,0
"ENSG00000197476.3",0,0,0,0,2,1,0,1,8,5
"ENSG00000197479.7",57,840,58,21,17,86,102,23,180,127
"ENSG00000197483.10",154,396,93,784,380,297,144,254,589,640
"ENSG00000197487.9",0,0,0,0,0,0,0,0,0,0
"ENSG00000197496.6",43081,23526,467,3299,1614,2427,585,2097,2747,1639
"ENSG00000197497.11",171,357,558,73,628,206,122,289,119,194
"ENSG00000197498.13",2357,2280,1370,1472,2922,1654,1094,1207,1711,1828
"ENSG00000197503.4",0,1,0,0,0,0,0,0,0,1
"ENSG00000197506.8",471,943,6,8,172,2490,6,1790,1232,1495
"ENSG00000197520.10",34,19,4,7,12,9,3,12,5,42
"ENSG00000197530.12",550,513,238,1663,945,1383,779,1254,1434,2801
"ENSG00000197532.2",0,0,0,0,0,0,0,0,0,0
"ENSG00000197535.15",3553,2878,4327,787,4477,2713,861,1767,3158,1155
"ENSG00000197536.11",129,377,122,76,192,362,172,237,216,201
"ENSG00000197540.8",1,13,4,30,46,14,35,94,43,136
"ENSG00000197548.12",2181,1380,2803,1452,1843,1140,682,1301,1650,1648
"ENSG00000197549.9",0,0,1,0,2,1,0,1,0,0
"ENSG00000197550.3",0,0,0,0,0,1,4,0,0,0
"ENSG00000197555.9",3431,5104,2256,1030,3451,2809,241,2691,2931,2419
"ENSG00000197557.7",1815,2845,1539,63,608,867,209,1038,1036,707
"ENSG00000197558.13",510,559,809,131,140,257,232,169,104,240
"ENSG00000197561.7",3,1,1,0,4,16,67,6,65,63
"ENSG00000197562.10",2375,3481,745,8202,1388,1304,1200,1379,1284,2287
"ENSG00000197563.11",2662,2819,4117,688,2695,1659,718,2075,1811,1351
"ENSG00000197565.16",772,272,16,43,43,893,52,1445,1080,1152
"ENSG00000197566.10",468,768,851,153,377,161,146,419,152,126
"ENSG00000197568.14",205,392,197,117,360,333,166,489,371,744
"ENSG00000197575.6",0,2,0,1,0,2,5,2,6,4
"ENSG00000197576.14",2,1,1,0,2,28,14,16,41,28
"ENSG00000197579.8",2071,3297,3739,432,3014,1901,837,1843,1930,1188
"ENSG00000197580.13",32,221,8,22,17,84,21,55,80,91
"ENSG00000197582.5",7,9,6,24,24,3,26,15,12,296
"ENSG00000197584.12",16,0,0,5,1,8,5,7,16,15
"ENSG00000197585.10",1,4,2,0,1,0,0,1,0,3
"ENSG00000197586.13",3195,8862,8012,3308,4480,3252,1673,3148,2813,4205
"ENSG00000197587.11",11,145,133,80,13,0,0,2,9,3
"ENSG00000197588.9",26,22,0,8,4,4,0,1,9,0
"ENSG00000197591.3",0,4,1,0,0,0,0,0,0,0
"ENSG00000197594.13",7439,18714,6306,7055,1203,3023,3976,2310,2126,2228
"ENSG00000197595.4",1,0,1,0,0,0,0,0,0,0
"ENSG00000197599.12",24,62,1,27,79,75,13,39,11,46
"ENSG00000197601.13",5600,5077,11682,6715,4580,3415,1580,2476,3144,1952
"ENSG00000197603.15",1777,3190,2908,670,1395,1551,775,1477,1176,517
"ENSG00000197608.11",898,1219,1042,134,482,774,203,639,333,350
"ENSG00000197614.11",4448,1712,1168,825,1014,2734,7158,199,30351,3105
"ENSG00000197616.13",0,0,0,1,6,0,0,2,1,3
"ENSG00000197617.9",0,3,3,1,1,0,0,0,0,1
"ENSG00000197619.14",849,1375,1424,113,308,784,441,1106,408,415
"ENSG00000197620.11",2354,1688,2647,2176,746,596,356,736,688,1162
"ENSG00000197622.13",9295,21591,6805,3143,11950,5959,1560,5667,7084,4338
"ENSG00000197627.3",0,0,1,0,0,0,0,0,0,0
"ENSG00000197629.6",2623,1346,2173,655,5005,1799,682,1264,2489,1438
"ENSG00000197632.9",27,6,2,0,130,11,10,15,55,12
"ENSG00000197635.11",2999,366,192,132,455,1250,804,221,2040,545
"ENSG00000197641.12",0,0,0,0,0,0,0,11,41,15
"ENSG00000197644.2",0,0,1,0,0,0,2,0,0,1
"ENSG00000197646.8",304,145,65,56,520,211,283,151,437,218
"ENSG00000197647.11",280,401,436,156,57,258,84,364,245,315
"ENSG00000197651.4",0,0,0,0,0,0,0,0,0,0
"ENSG00000197653.16",86,142,478,11,168,78,39,58,55,14
"ENSG00000197658.9",7,2,10,21,0,0,0,0,0,0
"ENSG00000197665.7",0,0,0,0,0,0,0,0,0,0
"ENSG00000197670.6",255,338,336,9,57,44,6,24,12,9
"ENSG00000197674.7",1,0,1,0,0,0,0,0,0,0
"ENSG00000197683.5",0,0,0,0,0,0,0,0,0,0
"ENSG00000197692.5",1,0,0,2,0,0,1,0,10,0
"ENSG00000197694.18",12922,23781,16468,12235,39212,16823,8456,13999,27999,19041
"ENSG00000197696.10",165,40,133,515,600,622,1869,226,375,1338
"ENSG00000197702.14",13193,9834,3669,5318,7185,10260,14126,8611,14830,9409
"ENSG00000197705.10",17,6,7,5,1,31,13,17,88,33
"ENSG00000197706.3",0,0,0,0,0,0,0,0,0,0
"ENSG00000197712.12",5633,14698,2408,2794,8575,2688,1991,2659,3977,2936
"ENSG00000197713.15",2307,4248,2529,750,4501,1402,996,1571,1513,988
"ENSG00000197714.9",84,153,129,8,301,135,30,68,112,39
"ENSG00000197721.17",0,0,0,0,37,1,1,4,2,1
"ENSG00000197724.11",3405,6795,2229,1092,4294,4289,2238,4177,5046,2830
"ENSG00000197728.11",5169,6016,9127,16028,4469,2138,8992,2230,10260,11411
"ENSG00000197734.10",0,2,1,3,0,7,1,0,0,0
"ENSG00000197744.5",36,58,31,32,41,28,32,59,38,50
"ENSG00000197745.3",1,0,0,0,0,0,0,0,0,0
"ENSG00000197746.14",137188,80674,107103,123720,130094,60314,45510,68664,107562,92710
"ENSG00000197747.9",8233,1720,1296,7429,28761,8654,4998,3511,21991,17606
"ENSG00000197748.13",54,356,662,9,120,247,12,263,248,176
"ENSG00000197753.11",154,249,547,12,145,41,10,41,18,14
"ENSG00000197756.10",25351,44294,34178,58732,43075,40256,59689,36972,51102,86464
"ENSG00000197757.8",585,1003,81,341,463,404,495,504,388,624
"ENSG00000197763.19",810,757,1352,715,1631,541,356,710,781,728
"ENSG00000197766.8",274,153,187,6650,764,12174,19438,1218,21597,24036
"ENSG00000197768.10",7,32,1,14,3,10,29,8,0,8
"ENSG00000197769.6",30,4,6,4,108,395,1244,39,377,190
"ENSG00000197771.13",5982,12396,7086,3052,8813,3665,3184,3155,4512,2673
"ENSG00000197774.13",1191,1683,378,2223,247,424,81,280,230,553
"ENSG00000197776.8",165,178,239,59,104,228,255,274,281,192
"ENSG00000197779.15",1216,2337,1712,204,665,663,198,636,410,238
"ENSG00000197780.10",1662,1649,2311,1135,1754,1229,625,859,1287,1642
"ENSG00000197782.14",724,1471,2104,273,658,706,454,939,281,413
"ENSG00000197785.14",633,452,268,2864,2684,666,587,682,946,1593
"ENSG00000197786.3",0,0,0,0,0,0,0,0,0,0
"ENSG00000197790.1",0,0,0,0,0,0,0,0,0,0
"ENSG00000197794.2",0,0,0,0,0,6,0,2,6,4
"ENSG00000197798.9",769,1633,792,434,990,603,341,447,792,641
"ENSG00000197808.12",304,687,1043,115,475,249,135,427,205,333
"ENSG00000197813.6",25,51,6,1,50,19,11,20,7,8
"ENSG00000197815.4",33,121,71,3,26,92,23,69,13,15
"ENSG00000197816.16",13,70,38,28,20,63,18,71,52,39
"ENSG00000197818.12",1530,2546,1662,859,1236,2047,897,1800,1374,1419
"ENSG00000197822.11",1017,3576,2241,596,3603,600,13,893,806,370
"ENSG00000197826.12",0,7,0,1,1,12,2,3,8,1
"ENSG00000197837.3",60,69,1174,67,122,85,12,105,39,34
"ENSG00000197838.5",0,24,2,0,2,0,0,0,3,2
"ENSG00000197841.15",562,1733,1780,182,860,702,489,1086,566,535
"ENSG00000197847.12",12,36,6,17,58,13,3,22,32,31
"ENSG00000197849.6",0,0,0,2,0,0,1,0,0,0
"ENSG00000197852.12",407,130,426,203,268,859,758,637,729,790
"ENSG00000197857.14",789,1170,4529,410,406,846,355,1051,698,812
"ENSG00000197858.11",6248,8926,6688,19329,6724,3851,2658,5019,6504,12099
"ENSG00000197859.11",536,585,184,693,387,103,121,63,181,355
"ENSG00000197860.10",677,391,555,93,760,548,347,329,507,223
"ENSG00000197863.9",298,509,551,117,468,264,147,350,145,247
"ENSG00000197866.3",0,0,0,1,0,0,0,0,0,0
"ENSG00000197870.12",5,11,0,5,2,4,0,4,6,1
"ENSG00000197872.11",1069,211,405,322,2284,1520,1770,1387,1692,1335
"ENSG00000197879.17",19478,31505,18309,12228,20503,22251,25309,11228,19533,19662
"ENSG00000197880.9",8,1,2,1,3,4,1,6,1,0
"ENSG00000197882.3",1,1,0,0,0,11,15,3,1,1
"ENSG00000197885.11",900,362,3637,543,599,538,507,592,618,605
"ENSG00000197887.4",0,0,0,0,0,0,0,0,0,0
"ENSG00000197888.2",60,0,0,2,1,0,0,1,0,163
"ENSG00000197889.10",1,0,17,2,65,4,2,9,17,12
"ENSG00000197891.12",0,0,0,1,0,6,4,5,4,29
"ENSG00000197892.13",3801,11627,778,3561,1671,3800,1208,4923,6955,2327
"ENSG00000197893.14",4,5,0,2,1,4,1,1,0,1
"ENSG00000197894.11",4010,6281,5906,3131,7303,6759,10986,6080,8596,8015
"ENSG00000197901.12",0,0,0,0,0,2,1,0,0,0
"ENSG00000197903.8",872,293,3336,1672,4243,404,399,424,366,651
"ENSG00000197905.10",959,454,597,1728,4712,415,189,298,558,653
"ENSG00000197912.16",3579,4012,3445,3072,2835,3374,1911,3342,3265,5289
"ENSG00000197915.7",18,6,6,0,1,20,8,26,13,23
"ENSG00000197919.6",0,0,0,0,1,4,0,3,0,1
"ENSG00000197921.6",3,0,2,5,2,2,5,3,0,12
"ENSG00000197927.13",77,8,127,26,26,20,32,27,67,67
"ENSG00000197928.10",443,91,824,73,66,918,353,938,592,525
"ENSG00000197930.13",5736,5459,1389,1064,5715,1683,1100,1545,2384,1507
"ENSG00000197933.13",462,858,527,287,253,631,186,754,602,597
"ENSG00000197934.8",9,4,1,1,9,15,1,13,18,4
"ENSG00000197935.7",241,211,126,190,27,250,91,273,137,200
"ENSG00000197937.13",921,2246,1857,299,1450,1022,551,1068,648,584
"ENSG00000197938.5",0,0,0,0,0,0,0,0,0,0
"ENSG00000197943.10",670,614,698,231,3025,1882,974,1557,2447,1196
"ENSG00000197948.11",548,766,653,458,441,859,180,790,821,1198
"ENSG00000197951.10",415,1045,643,415,808,578,275,513,578,667
"ENSG00000197953.6",0,0,0,0,0,4,18,2,57,0
"ENSG00000197956.10",79773,11092,10796,31077,60899,18912,12670,15330,52795,63746
"ENSG00000197958.13",18537,58793,21168,35095,57105,38087,34829,33195,47763,86297
"ENSG00000197959.14",248,289,271,66,278,219,278,221,246,148
"ENSG00000197961.12",1174,2965,5720,1445,4145,2004,467,1525,1560,1500
"ENSG00000197965.12",11654,34781,11405,5967,20275,13808,2965,13431,18401,13170
"ENSG00000197969.14",1563,4246,2486,317,5088,3204,801,2584,2119,916
"ENSG00000197971.16",669,425,2630,642,2062,2275,534,2445,2926,1589
"ENSG00000197976.12",1562,2418,1635,3953,1336,2359,1299,1917,2224,3355
"ENSG00000197976.12_PAR_Y",0,0,0,0,0,0,0,0,0,0
"ENSG00000197977.4",465,40,124,5530,861,398,32,1414,509,948
"ENSG00000197978.9",70,225,73,42,299,121,27,123,76,80
"ENSG00000197980.13",72,54,265,90,57,51,12,68,113,48
"ENSG00000197982.14",1606,1267,2539,4874,1890,863,765,777,1203,3189
"ENSG00000197984.4",0,0,0,0,0,0,0,0,0,0
"ENSG00000197989.14",226,416,239,1413,947,388,216,331,170,657
"ENSG00000197990.6",0,0,0,0,0,0,0,0,0,0
"ENSG00000197991.11",0,0,0,0,0,0,0,0,0,0
"ENSG00000197992.7",4,12,5,1,11,45,6,47,25,83
"ENSG00000197993.9",8,197,48,21,37,176,6,53,40,64
"ENSG00000198000.12",2209,4221,2084,874,3252,2236,1262,1831,2116,1473
"ENSG00000198001.14",2597,1462,1907,547,1381,1266,595,1357,1125,1106
"ENSG00000198003.12",130,98,226,132,65,29,14,42,45,72
"ENSG00000198010.13",2,10,2,4,8,20,31,25,52,44
"ENSG00000198015.14",3788,4300,6076,1690,2697,1765,812,2042,2228,1705
"ENSG00000198018.7",2459,3711,1649,969,2960,654,125,678,650,489
"ENSG00000198019.13",58,43,27,62,61,14,0,18,37,59
"ENSG00000198021.7",0,0,0,0,0,0,0,0,0,0
"ENSG00000198022.6",0,0,0,0,0,0,0,0,0,0
"ENSG00000198026.8",2425,2369,1632,1463,1806,1480,642,1562,1448,1934
"ENSG00000198028.4",1,1,1,0,6,3,11,1,3,1
"ENSG00000198033.12",0,7,0,6,1,0,1,0,0,0
"ENSG00000198034.11",73422,115307,131870,88588,83796,91641,70423,120501,142098,184908
"ENSG00000198039.11",366,849,357,189,324,237,83,419,231,302
"ENSG00000198040.11",3433,3594,4989,920,3780,1950,893,2338,1495,1267
"ENSG00000198042.11",1002,1222,5506,1573,1177,963,379,657,928,841
"ENSG00000198046.12",175,88,1848,35,584,502,74,792,337,517
"ENSG00000198049.7",3,1,1,0,2,0,0,1,2,0
"ENSG00000198053.12",3098,1712,2598,1305,5258,5288,2622,5303,7790,6091
"ENSG00000198054.12",18,31,0,1,0,0,0,0,0,0
"ENSG00000198055.11",1232,2529,1459,3636,4330,1677,948,1650,2195,3329
"ENSG00000198056.15",213,465,958,326,550,217,74,205,125,153
"ENSG00000198060.10",4967,8601,5611,2120,3590,2627,1817,2984,3617,2590
"ENSG00000198062.15",3,0,3,4,0,0,0,0,3,1
"ENSG00000198064.13",2,6,7,4,9,3,0,3,3,5
"ENSG00000198074.10",2380,221,24,0,7,0,2,6,843,13
"ENSG00000198075.10",119,70,157,29,387,240,180,405,576,622
"ENSG00000198077.10",0,893,50,0,0,0,2,3,188,32
"ENSG00000198081.11",523,1215,1363,299,1169,600,527,826,645,531
"ENSG00000198083.9",0,0,0,0,0,0,0,0,0,0
"ENSG00000198087.7",7852,7870,13708,1969,10344,3202,1866,3404,3254,1821
"ENSG00000198088.10",71,296,757,0,22,65,13,71,95,55
"ENSG00000198089.16",586,2118,1951,4114,1721,1629,342,1618,1285,2315
"ENSG00000198090.3",0,0,0,0,0,0,0,0,0,0
"ENSG00000198092.6",0,4,1,0,1,0,0,1,3,0
"ENSG00000198093.11",1032,1125,1051,66,505,680,204,830,585,592
"ENSG00000198099.9",0,0,7,0,3,97,36,11,367,145
"ENSG00000198104.3",0,0,0,0,0,0,0,0,0,0
"ENSG00000198105.15",808,1627,1418,477,1285,962,430,936,638,644
"ENSG00000198106.8",2,9,1,3,9,2,0,6,6,6
"ENSG00000198108.4",963,178,180,173,214,168,95,74,130,67
"ENSG00000198113.3",667,231,210,345,579,241,316,117,329,494
"ENSG00000198121.13",2893,1032,2056,409,584,1353,1553,1054,3479,1392
"ENSG00000198125.13",7820,1660,1840,6906,1210,355,4,708,581,940
"ENSG00000198128.4",2,2,0,0,0,12,0,10,2,4
"ENSG00000198129.3",0,0,0,0,0,0,0,0,0,0
"ENSG00000198130.16",1344,4151,1971,981,956,1407,1861,1825,1552,1458
"ENSG00000198131.14",1156,2234,2808,1093,1887,1344,227,1327,1136,1306
"ENSG00000198133.8",220,2617,1070,483,338,833,87,975,717,1501
"ENSG00000198134.3",16,35,30,16,23,18,8,15,28,43
"ENSG00000198142.5",3008,3241,1977,1126,1548,1653,422,1942,2404,1468
"ENSG00000198146.4",11120,2143,2652,73,2471,2000,956,1799,1168,298
"ENSG00000198153.8",2,0,12,0,0,0,1,4,3,2
"ENSG00000198155.5",104,280,91,60,58,52,24,58,59,38
"ENSG00000198156.10",15,3,8,3,1,12,2,9,4,4
"ENSG00000198157.11",490,577,224,528,195,319,220,274,503,720
"ENSG00000198160.15",2286,3073,5960,674,2724,2691,1600,2283,3236,1703
"ENSG00000198162.12",6503,4236,10927,1216,8264,4018,1742,3196,3791,1814
"ENSG00000198168.9",2122,3319,6919,3450,2988,1125,376,2124,1987,1822
"ENSG00000198169.9",1696,1402,2021,2316,3417,901,644,971,791,824
"ENSG00000198171.13",4280,4163,3136,7565,1661,2156,2435,2451,2931,5217
"ENSG00000198173.5",1,2,0,0,0,2,0,2,0,1
"ENSG00000198176.13",5171,5435,3330,3982,24843,3138,1058,3007,4239,2888
"ENSG00000198178.11",0,0,0,0,8,1,0,1,0,0
"ENSG00000198182.13",306,1168,1330,315,811,441,166,752,360,488
"ENSG00000198183.12",0,214,0,0,0,0,3,0,8,0
"ENSG00000198185.11",1691,43,13,608,36,341,185,613,546,564
"ENSG00000198189.11",1206,589,460,379,551,1212,2977,769,2715,1356
"ENSG00000198198.17",1518,2056,3070,882,9158,3018,1503,2793,2095,1686
"ENSG00000198203.10",45,37,45,15,54,0,3,28,70,64
"ENSG00000198205.6",371,885,935,60,346,309,169,377,207,158
"ENSG00000198208.12",589,1179,486,890,291,391,84,268,361,476
"ENSG00000198211.8",0,0,0,0,0,0,0,0,0,0
"ENSG00000198216.12",57,26,51,13,3,4,4,4,20,3
"ENSG00000198217.4",0,0,0,0,0,0,1,0,0,0
"ENSG00000198218.11",5117,5215,8645,3184,5848,3753,2083,4226,4419,3991
"ENSG00000198221.10",24,72,142,67,88,52,12,45,29,49
"ENSG00000198223.17",269,670,280,498,715,383,1039,419,691,484
"ENSG00000198223.17_PAR_Y",0,0,0,0,0,0,0,0,0,0
"ENSG00000198225.5",30,46,54,14,16,14,17,18,13,35
"ENSG00000198231.13",6926,10721,10884,22597,15345,8216,6314,7683,10083,6780
"ENSG00000198237.8",7,12,10,0,9,3,0,8,3,6
"ENSG00000198242.14",10610,8314,11415,20724,8346,8559,8080,6251,10663,11537
"ENSG00000198246.9",943,2289,1545,1731,1014,641,190,803,702,1547
"ENSG00000198251.7",1,104,6,24,0,0,0,2,1,1
"ENSG00000198252.12",1736,3519,871,1266,3005,1179,1163,1091,1204,899
"ENSG00000198258.11",7120,8320,7951,18552,3530,2778,2985,3235,4056,6711
"ENSG00000198261.3",0,0,0,0,0,0,0,0,0,0
"ENSG00000198265.12",3158,4829,5824,2799,6525,3786,2768,3312,2938,1396
"ENSG00000198270.13",1598,917,976,379,501,687,264,1063,797,917
"ENSG00000198271.5",0,0,0,0,0,0,0,0,0,0
"ENSG00000198276.16",828,2029,2096,10003,1393,1305,1050,1094,1343,2429
"ENSG00000198277.6",0,0,0,0,0,0,0,0,0,0
"ENSG00000198283.2",0,0,0,0,0,0,0,1,0,0
"ENSG00000198284.9",0,0,0,0,0,0,0,0,0,0
"ENSG00000198286.10",129,263,98,256,487,299,56,354,262,524
"ENSG00000198298.13",507,523,358,246,671,221,91,193,120,132
"ENSG00000198300.14",510,40,2303,1,19,1545,70,684,445,41
